"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","2162","","","0.00760894594150838","0.0716888849446992","","","","0.0322689836922747","","","","",""
"Blob_0","2170","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","2146","","","","0.0699089946802297","","","","0.030179656450465","","","","",""
"ComplexClass_0","2062","","","0.00681896910073438","","","","","0.0305715784145247","","","","",""
"LargeClass_0","2170","","","","","","","","","","","","",""
"LazyClass_0","2170","","","","","","","","","","","","",""
"LongMethod_0","2170","","","","","","","","","","","","",""
"LongParameterList_0","2090","","","0.00694691273638642","0.0692691051944978","","","","","","","","",""
"MessageChains_0","2170","","","","","","","","","","","","",""
"RefusedParentBequest_0","2170","","","","","","","","","","","","",""
"SpaghettiCode_0","2170","","","","","","","","","","","","",""
"SpeculativeGenerality_0","2170","","","","","","","","","","","","",""
"SwissArmyKnife_0","2170","","","","","","","","","","","","",""
"AntiSingleton_1","8","","","0","0","","","","0","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","24","","","","0.206944444444444","","","","0.208333333333333","","","","",""
"ComplexClass_1","108","","","0.022128026294693","","","","","0.062286556036556","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","0","","","","","","","","","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","80","","","0.0241436688311688","0.127736742424242","","","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
