"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.79594071834466,0.238908086036244,-20.0744177307464,1.23521589104648e-89
"sloc",0.00179194380078635,0.000693279085777583,2.58473656215448,0.00974534259267414
"AntiSingleton",-35.6057471307432,25364766.4160079,-1.40374827612338e-06,0.999998879970923
"ClassDataShouldBePrivate",3.33883465669147,0.618906651692572,5.39473060688636,6.86264368157527e-08
"ComplexClass",1.86396891556068,0.470121030783841,3.9648703068077,7.34358632078557e-05
"LongParameterList",2.14181078979074,0.50344057877081,4.25434674936244,2.09660192742037e-05
"AntiSingleton:ComplexClass",-1.12320624191099,71742393.3438878,-1.56561021950724e-08,0.999999987508238
"ClassDataShouldBePrivate:ComplexClass",-1.05486451518091,0.949215208759596,-1.11130174216168,0.266438489764102
"ClassDataShouldBePrivate:LongParameterList",-0.642313931142325,0.880854460376951,-0.729194163207682,0.465882901080664
"ComplexClass:LongParameterList",-1.54463664575505,0.817921313794861,-1.88849051822417,0.0589601296391193
"(Intercept)",-4.6126453109655,0.207321977371837,-22.2487040179662,1.16099187444391e-109
"sloc",0.0015261622484817,0.000592060726309444,2.57771235392507,0.00994567503889764
"ClassDataShouldBePrivate",2.44653262684966,0.445868710297279,5.48711441360945,4.08552531617124e-08
"ComplexClass",1.18481100224394,0.430590181663265,2.75159781318585,0.00593053060468692
"LongParameterList",1.54866227159365,0.410263937863803,3.77479502502062,0.000160139284459307
