"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.04810479292645,0.312862706012726,-12.9389176630141,2.7142642128421e-38
"sloc",0.0322559700514265,0.00433878478674657,7.43433279980995,1.05097068655043e-13
"ClassDataShouldBePrivate",4.36082449782092,2.62008214650918,1.66438464672987,0.0960355862717869
"ComplexClass",0.404981448143807,1.37943380100384,0.293585272340792,0.76907483106344
"LongParameterList",2.23473132545315,1.46586537465852,1.5245133448723,0.127380525831267
"ClassDataShouldBePrivate:ComplexClass",-3.60365878639893,6.34457584712504,-0.567990496643189,0.570041420933128
"ClassDataShouldBePrivate:LongParameterList",0.303540235107137,7.14518274176087,0.042481801526651,0.966114618930628
"ComplexClass:LongParameterList",-1.18018836993994,3.36586337392098,-0.350634663035982,0.725862448222233
"(Intercept)",-0.855138575353226,0.0298946524591818,-28.6050682984468,5.81102446191819e-180
"sloc",0.00526499475817385,2.47329757674554e-05,212.873485490643,0
