Class,same,uchangedLines,deleted,added,changed,all, differenceSection
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\AdviceAdapter.java,0,157,0,489,0,489,44
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\AnalyzerAdapter.java,0,178,0,769,0,769,47
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\CodeSizeEvaluator.java,0,57,0,181,0,181,24
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\GeneratorAdapter.java,0,910,0,718,0,718,129
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\InstructionAdapter.java,0,160,0,1010,0,1010,104
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\JSRInlinerAdapter.java,572,132,31,25,27,110,18
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\LocalVariablesSorter.java,0,168,0,213,0,213,36
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\Method.java,0,160,0,122,0,122,24
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\Remapper.java,0,98,0,125,0,125,16
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\RemappingAnnotationAdapter.java,0,44,0,35,0,35,10
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\RemappingClassAdapter.java,0,52,0,83,0,83,18
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\RemappingFieldAdapter.java,0,42,0,29,0,29,8
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\RemappingMethodAdapter.java,0,65,0,159,0,159,26
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\RemappingSignatureAdapter.java,0,58,0,97,0,97,24
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\SerialVersionUIDAdder.java,0,336,0,204,0,204,56
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\SimpleRemapper.java,0,43,0,26,0,26,9
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\StaticInitMerger.java,0,46,0,51,0,51,13
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\TableSwitchGenerator.java,0,51,0,6,0,6,5
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\commons\TryCatchBlockSorter.java,0,54,0,42,0,42,11
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\AnnotationConstantsCollector.java,0,44,0,103,0,103,10
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\ClassConstantsCollector.java,0,49,0,149,0,149,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\ClassOptimizer.java,0,66,0,194,0,194,27
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\Constant.java,0,155,0,168,0,168,28
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\ConstantPool.java,0,58,0,191,0,191,25
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\FieldConstantsCollector.java,0,44,0,45,0,45,10
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\JarOptimizer.java,0,58,0,177,0,177,25
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\MethodConstantsCollector.java,0,57,0,167,0,167,23
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\MethodOptimizer.java,0,64,0,72,0,72,25
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\NameMapping.java,0,43,0,71,0,71,10
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\optimizer\Shrinker.java,0,57,0,226,0,226,23
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\signature\SignatureReader.java,131,96,5,0,4,13,3
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\signature\SignatureVisitor.java,189,49,0,3,0,3,1
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\signature\SignatureWriter.java,224,2,0,0,1,2,1
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\Analyzer.java,0,205,0,344,0,344,45
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\AnalyzerException.java,0,41,0,20,0,20,7
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\BasicInterpreter.java,0,49,0,309,0,309,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\BasicValue.java,0,53,0,58,0,58,18
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\BasicVerifier.java,0,50,0,383,0,383,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\Frame.java,0,196,0,542,0,542,26
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\Interpreter.java,0,200,0,26,0,26,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\SimpleVerifier.java,0,115,0,205,0,205,26
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\SmallSet.java,0,63,0,71,0,71,14
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\SourceInterpreter.java,0,48,0,150,0,150,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\SourceValue.java,0,64,0,33,0,33,12
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\Subroutine.java,0,44,0,46,0,46,11
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\analysis\Value.java,0,41,0,4,0,4,3
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\AbstractInsnNode.java,216,60,1,46,4,55,9
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\AnnotationNode.java,192,26,11,5,9,34,8
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\ClassNode.java,292,52,30,57,17,121,15
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\FieldInsnNode.java,84,19,5,3,5,18,5
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\FieldNode.java,174,77,14,50,8,80,11
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\FrameNode.java,140,66,10,2,3,18,4
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\IincInsnNode.java,73,8,1,2,1,5,4
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\InnerClassNode.java,78,22,4,0,2,8,1
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\InsnList.java,504,92,1,17,4,26,11
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\InsnNode.java,63,23,1,2,1,5,4
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\IntInsnNode.java,73,13,1,2,1,5,4
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\InvokeDynamicInsnNode.java,85,12,5,3,3,14,5
plastic\src\external\java\org\apache\tapestry5\internal\plastic\asm\tree\JumpInsnNode.java,75,19,1,3,1,6,4
