"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","432","","","0.0155116156097436","0.0458459519696755","","0.0244804289075122","","0.0650081900378224","","","","",""
"Blob_0","452","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","445","0.0349877110146159","","","0.0487407873822449","","0.0237652703102141","","0.0671328595773566","","","","",""
"ComplexClass_0","437","0.0371532760136254","","0.0185060986946371","","","0.0242003324669229","","0.065639368185824","","","","",""
"LargeClass_0","452","","","","","","","","","","","","",""
"LazyClass_0","441","0.0393650965804541","","0.0194499430154562","0.0516556158176307","","","","0.0667713068513549","","","","",""
"LongMethod_0","452","","","","","","","","","","","","",""
"LongParameterList_0","410","0.0369048860072584","","0.0191221639206793","0.0499359543760729","","0.0243015622588793","","","","","","",""
"MessageChains_0","452","","","","","","","","","","","","",""
"RefusedParentBequest_0","452","","","","","","","","","","","","",""
"SpaghettiCode_0","452","","","","","","","","","","","","",""
"SpeculativeGenerality_0","452","","","","","","","","","","","","",""
"SwissArmyKnife_0","452","","","","","","","","","","","","",""
"AntiSingleton_1","20","","","0.106320346320346","0.161233766233766","","0.00357142857142857","","0.133755411255411","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","7","0.291496598639456","","","0.191496598639456","","0.0102040816326531","","0.126360544217687","","","","",""
"ComplexClass_1","15","0.0916017316017316","","0.0493506493506493","","","0.00476190476190476","","0.138282828282828","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","11","0.0227272727272727","","0.0227272727272727","0.0227272727272727","","","","0.119318181818182","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","42","0.0590239125953412","","0.0235080395794682","0.0608663162234591","","0.0162698412698413","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
