ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.hadoop.io.FileChunk, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,71,tez-runtime-library\src\main\java\org\apache\hadoop\io\FileChunk.java,0,0,0,0
org.apache.hadoop.mapred.split.TestGroupedSplits, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,tez-mapreduce\src\test\java\org\apache\hadoop\mapred\split\TestGroupedSplits.java,0,0,0,0
org.apache.hadoop.mapred.split.TezGroupedSplit, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,tez-mapreduce\src\main\java\org\apache\hadoop\mapred\split\TezGroupedSplit.java,0,0,0,0
org.apache.hadoop.mapred.split.TezGroupedSplitsInputFormat, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,tez-mapreduce\src\main\java\org\apache\hadoop\mapred\split\TezGroupedSplitsInputFormat.java,0,0,0,0
org.apache.hadoop.mapreduce.split.SplitMetaInfoReaderTez, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,tez-mapreduce\src\main\java\org\apache\hadoop\mapreduce\split\SplitMetaInfoReaderTez.java,0,0,0,0
org.apache.hadoop.mapreduce.split.TezGroupedSplit, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,tez-mapreduce\src\main\java\org\apache\hadoop\mapreduce\split\TezGroupedSplit.java,0,0,0,0
org.apache.hadoop.mapreduce.split.TezGroupedSplitsInputFormat, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,tez-mapreduce\src\main\java\org\apache\hadoop\mapreduce\split\TezGroupedSplitsInputFormat.java,0,0,0,0
org.apache.tez.client.FrameworkClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,17,tez-api\src\main\java\org\apache\tez\client\FrameworkClient.java,0,0,0,0
org.apache.tez.client.LocalClient, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,214,tez-dag\src\main\java\org\apache\tez\client\LocalClient.java,0,11,0,11
org.apache.tez.client.TezApiVersionInfo, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,tez-api\src\main\java\org\apache\tez\client\TezApiVersionInfo.java,0,0,0,0
