class,SLOC
org.apache.tika.parser.txt.CharsetRecog_Unicode,102
org.apache.tika.parser.txt.CharsetRecognizer,8
org.apache.tika.parser.txt.CharsetDetector,240
org.apache.tika.io.NullInputStream,128
org.apache.tika.metadata.serialization.JsonMetadataSerializer,34
org.apache.tika.metadata.Metadata,284
org.apache.tika.metadata.serialization.JsonMetadataList,36
org.apache.tika.exception.TikaException,8
org.apache.tika.metadata.serialization.JsonMetadataBase,23
org.apache.tika.parser.xml.DcXMLParser,26
org.apache.tika.metadata.Property,215
org.apache.tika.parser.ParseContext,52
org.apache.tika.sax.TeeContentHandler,79
org.apache.tika.parser.xml.XMLParser,39
org.apache.tika.parser.xml.ElementMetadataHandler,148
org.apache.tika.TestParsers,71
org.apache.tika.config.TikaConfig,355
org.apache.tika.TikaTest,115
org.apache.tika.Tika,215
org.apache.tika.sax.SerializerTest,114
org.apache.tika.sax.ToTextContentHandler,43
org.apache.tika.sax.ToXMLContentHandler,167
org.apache.tika.sax.ToHTMLContentHandler,29
org.apache.tika.mime.HexCoDec,42
org.apache.tika.parser.image.ImageMetadataExtractor,360
org.apache.tika.parser.image.MetadataFields,47
org.apache.tika.parser.pkg.ZipParserTest,134
org.apache.tika.io.TikaInputStream,254
org.apache.tika.parser.AutoDetectParser,56
org.apache.tika.sax.BodyContentHandler,21
org.apache.tika.parser.pkg.AbstractPkgTest,42
org.apache.tika.parser.xml.AttributeDependantMetadataHandler,42
org.apache.tika.parser.chm.TestDirectoryListingEntry,45
org.apache.tika.parser.chm.accessor.DirectoryListingEntry,57
org.apache.tika.parser.chm.TestParameters,71
org.apache.tika.parser.odf.OpenDocumentContentParser,360
org.apache.tika.io.CloseShieldInputStream,9
org.apache.tika.mime.MediaType,252
org.apache.tika.parser.AbstractParser,8
org.apache.tika.sax.ElementMappingContentHandler,82
org.apache.tika.sax.OfflineContentHandler,9
org.apache.tika.sax.XHTMLContentHandler,160
org.apache.tika.parser.odf.NSNormalizerContentHandler,50
org.apache.tika.parser.microsoft.TNEFParserTest,44
org.apache.tika.detect.DefaultDetector,53
org.apache.tika.extractor.ParserContainerExtractor,70
org.apache.tika.parser.microsoft.AbstractPOIContainerExtractionTest,37
org.apache.tika.parser.microsoft.TNEFParser,69
org.apache.tika.bundle.BundleIT,131
org.apache.tika.config.ServiceLoader,178
org.apache.tika.fork.ForkParser,129
org.apache.tika.parser.internal.Activator,21
org.apache.tika.sax.xpath.NamedAttributeMatcher,14
org.apache.tika.sax.xpath.Matcher,15
org.apache.tika.batch.PoisonFileResource,14
org.apache.tika.sax.EmbeddedContentHandler,11
org.apache.tika.sax.TaggedContentHandler,25
org.apache.tika.sax.TextContentHandler,45
org.apache.tika.batch.BatchProcess,404
org.apache.tika.io.IOUtils,356
org.apache.tika.batch.ParallelFileProcessingResult,55
org.apache.tika.batch.ConsumersManager,20
org.apache.tika.batch.FileResourceCrawler,141
org.apache.tika.batch.Interrupter,20
org.apache.tika.batch.StatusReporter,129
org.apache.tika.batch.BatchNoRestartError,8
org.apache.tika.batch.FileResourceConsumer,241
org.apache.tika.batch.FileConsumerFutureResult,14
org.apache.tika.batch.FileResourceCrawlerFutureResult,14
org.apache.tika.batch.FileStarted,61
org.apache.tika.batch.BatchProcessDriverCLI,270
org.apache.tika.batch.InterrupterFutureResult,2
org.apache.tika.parser.external.ExternalParser,198
org.apache.tika.io.NullOutputStream,12
org.apache.tika.io.TemporaryResources,59
org.apache.tika.parser.DelegatingParser,14
org.apache.tika.parser.EmptyParser,15
org.apache.tika.io.ProxyInputStream,90
org.apache.tika.io.ClosedInputStream,6
org.apache.tika.batch.fs.builders.BasicTikaFSConsumersBuilder,118
org.apache.tika.batch.builders.AbstractConsumersBuilder,8
org.apache.tika.batch.builders.BatchProcessBuilder,159
org.apache.tika.batch.fs.BasicTikaFSConsumer,68
org.apache.tika.batch.fs.FSConsumersManager,11
org.apache.tika.batch.fs.FSOutputStreamFactory,42
org.apache.tika.batch.fs.FSUtil,67
org.apache.tika.batch.fs.RecursiveParserWrapperFSConsumer,85
org.apache.tika.util.ClassLoaderUtil,20
org.apache.tika.util.PropsUtil,52
org.apache.tika.util.XMLDOMUtil,48
org.apache.tika.parser.mp3.LyricsHandler,81
org.apache.tika.parser.mp3.ID3v1Handler,88
org.apache.tika.language.translate.MicrosoftTranslator,65
org.apache.tika.parser.rtf.RTFEmbObjHandler,176
org.apache.tika.extractor.ParsingEmbeddedDocumentExtractor,59
org.apache.tika.io.FilenameUtils,42
org.apache.tika.mime.MimeType,230
org.apache.tika.mime.MimeTypeException,8
org.apache.tika.mime.MimeTypes,267
org.apache.tika.parser.rtf.RTFObjDataParser,201
org.apache.tika.parser.rtf.TextExtractor,1034
org.apache.tika.parser.rtf.RTFParser,31
org.apache.tika.parser.video.FLVParserTest,16
org.apache.tika.parser.image.xmp.JempboxExtractorTest,59
org.apache.tika.parser.image.xmp.JempboxExtractor,51
org.apache.tika.parser.chm.accessor.ChmItsfHeader,217
org.apache.tika.parser.chm.assertion.ChmAssert,59
org.apache.tika.parser.chm.core.ChmConstants,60
org.apache.tika.parser.chm.exception.ChmParsingException,6
org.apache.tika.mime.AndClause,24
org.apache.tika.parser.microsoft.OldExcelParserTest,54
org.apache.tika.parser.microsoft.OldExcelParser,35
org.apache.tika.xmp.convert.GenericConverter,54
org.apache.tika.xmp.convert.AbstractConverter,77
org.apache.tika.xmp.convert.Namespace,8
org.apache.tika.server.CXFTestBase,96
org.apache.tika.server.resource.UnpackerResource,158
org.apache.tika.server.TikaServerCli,103
org.apache.tika.parser.microsoft.ooxml.XWPFWordExtractorDecorator,290
org.apache.tika.parser.microsoft.WordExtractor,461
org.apache.tika.parser.microsoft.ooxml.AbstractOOXMLExtractor,179
org.apache.tika.parser.pkg.PackageParser,177
org.apache.tika.exception.EncryptedDocumentException,14
org.apache.tika.language.ProfilingHandler,19
org.apache.tika.sax.WriteOutContentHandler,73
org.apache.tika.language.ProfilingWriter,47
org.apache.tika.language.LanguageProfile,210
org.apache.tika.language.LanguageIdentifier,116
org.apache.tika.example.ParsingExample,73
org.apache.tika.parser.RecursiveParserWrapper,150
org.apache.tika.sax.BasicContentHandlerFactory,81
org.apache.tika.sax.ContentHandlerDecorator,112
org.apache.tika.fork.ForkParserTest,128
org.apache.tika.fork.ForkTestParser,17
org.apache.tika.parser.crypto.Pkcs7ParserTest,17
org.apache.tika.parser.crypto.Pkcs7Parser,41
org.apache.tika.server.resource.TikaWelcome,162
org.apache.tika.server.HTMLHelper,25
org.apache.tika.parser.rtf.RTFParserTest,452
org.apache.tika.server.resource.DetectorResource,29
org.apache.tika.server.resource.MetadataResource,55
org.apache.tika.server.resource.RecursiveMetadataResource,35
org.apache.tika.server.writer.TarWriter,22
org.apache.tika.server.resource.TikaDetectors,79
org.apache.tika.server.resource.TikaMimeTypes,107
org.apache.tika.server.resource.TikaParsers,164
org.apache.tika.server.resource.TikaResource,255
org.apache.tika.server.resource.TikaVersion,11
org.apache.tika.server.writer.CSVMessageBodyWriter,23
org.apache.tika.server.writer.JSONMessageBodyWriter,21
org.apache.tika.server.writer.MetadataListMessageBodyWriter,24
org.apache.tika.server.writer.TextMessageBodyWriter,22
org.apache.tika.server.writer.XMPMessageBodyWriter,23
org.apache.tika.server.writer.ZipWriter,34
org.apache.tika.server.TikaLoggingFilter,17
org.apache.tika.server.TikaServerParseExceptionMapper,49
org.apache.tika.parser.mp4.DirectFileReadDataSource,51
org.apache.tika.parser.jdbc.SQLite3DBParser,56
org.apache.tika.io.IOExceptionWithCause,11
org.apache.tika.parser.jdbc.AbstractDBParser,80
org.apache.tika.parser.jdbc.JDBCTableReader,202
org.apache.tika.parser.jdbc.SQLite3TableReader,28
org.apache.tika.parser.video.FLVParser,159
org.apache.tika.parser.fork.ForkParserIntegrationTest,156
org.apache.tika.sax.LinkContentHandlerTest,20
org.apache.tika.sax.LinkContentHandler,58
org.apache.tika.utils.CharsetUtilsTest,38
org.apache.tika.utils.CharsetUtils,129
org.apache.tika.parser.jpeg.JpegParser,24
org.apache.tika.sax.xpath.TextMatcher,6
org.apache.tika.example.LanguageIdentifierExample,6
org.apache.tika.detect.CompositeDetector,30
org.apache.tika.batch.fs.FSDirectoryCrawler,96
org.apache.tika.batch.fs.FSFileResource,35
org.apache.tika.language.LanguageProfilerBuilder,422
org.apache.tika.sax.xpath.NodeMatcher,15
org.apache.tika.language.translate.DefaultTranslator,34
org.apache.tika.metadata.serialization.JsonMetadataTest,85
org.apache.tika.metadata.serialization.JsonMetadata,32
org.apache.tika.parser.NetworkParser,128
org.apache.tika.io.TaggedInputStream,35
