Class,same,uchangedLines,deleted,added,changed,all, differenceSection
tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,206,0,0,0,0,0,0
tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java,1226,0,0,0,0,0,0
tika-app\src\main\java\org\apache\tika\gui\ParsingTransferHandler.java,131,0,0,0,0,0,0
tika-app\src\main\java\org\apache\tika\gui\TikaGUI.java,659,0,0,0,0,0,0
tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchCommandLineTest.java,216,0,0,0,0,0,0
tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchIntegrationTest.java,136,0,0,0,0,0,0
tika-app\src\test\java\org\apache\tika\cli\TikaCLITest.java,381,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\AbstractConsumersBuilder.java,38,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\BatchProcessBuilder.java,295,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\CommandLineParserBuilder.java,143,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\DefaultContentHandlerFactoryBuilder.java,76,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\IContentHandlerFactoryBuilder.java,29,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\ICrawlerBuilder.java,32,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\InterrupterBuilder.java,33,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\ObjectFromDOMAndQueueBuilder.java,36,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\ObjectFromDOMBuilder.java,31,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\ReporterBuilder.java,30,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\SimpleLogReporterBuilder.java,43,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\builders\StatusReporterBuilder.java,31,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\builders\BasicTikaFSConsumersBuilder.java,203,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\builders\FSCrawlerBuilder.java,129,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\strawman\StrawManTikaAppDriver.java,252,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\AbstractFSConsumer.java,78,0,4,0,0,4,1
tika-batch\src\main\java\org\apache\tika\batch\fs\BasicTikaFSConsumer.java,124,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSBatchProcessCLI.java,151,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSConsumersManager.java,42,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSDirectoryCrawler.java,155,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSDocumentSelector.java,83,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSFileResource.java,99,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSListCrawler.java,80,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSOutputStreamFactory.java,94,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSProperties.java,12,0,0,0,0,0,0
tika-batch\src\main\java\org\apache\tika\batch\fs\FSUtil.java,149,0,0,0,0,0,0
