ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
Tika.Tika, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,tika-dotnet\src\main\java\Tika\Tika.java,0,0,0,0
org.apache.tika.TestRereadableInputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,tika-core\src\test\java\org\apache\tika\TestRereadableInputStream.java,0,0,0,0
org.apache.tika.TikaDetectionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798,tika-core\src\test\java\org\apache\tika\TikaDetectionTest.java,0,0,1,2
org.apache.tika.TikaIT, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,tika-core\src\test\java\org\apache\tika\TikaIT.java,0,0,0,0
org.apache.tika.TypeDetectionBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,tika-core\src\test\java\org\apache\tika\TypeDetectionBenchmark.java,0,0,0,0
org.apache.tika.batch.AutoDetectParserFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,tika-batch\src\main\java\org\apache\tika\batch\AutoDetectParserFactory.java,0,0,0,0
org.apache.tika.batch.BatchNoRestartError, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,tika-batch\src\main\java\org\apache\tika\batch\BatchNoRestartError.java,0,0,0,0
org.apache.tika.batch.BatchProcess, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,tika-batch\src\main\java\org\apache\tika\batch\BatchProcess.java,0,0,0,0
org.apache.tika.batch.BatchProcessDriverCLI, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,tika-batch\src\main\java\org\apache\tika\batch\BatchProcessDriverCLI.java,0,0,0,0
org.apache.tika.batch.CommandLineParserBuilderTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,tika-batch\src\test\java\org\apache\tika\batch\CommandLineParserBuilderTest.java,0,0,0,0
