"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","1382","","","0.0168667014456869","0.121682615692274","","0.00494212698493299","","0.0652047716539237","","0.00504789470057198","","0.00171593963200331",""
"Blob_0","1395","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","1379","0.00564024068375047","","","0.122959961109482","","0.00493379528912524","","0.0662453867767343","","0.00505887634241514","","0.00171967264062986",""
"ComplexClass_0","1292","0.00482282094124199","","0.017218597965502","","","0.00523735810113519","","0.0629117849707851","","0.00534424296034203","","0.00183547103051747",""
"LargeClass_0","1395","","","","","","","","","","","","",""
"LazyClass_0","1373","0.00602905455418201","","0.0167951794595334","0.124244793998143","","","","0.0665348786344622","","0.00508098359518607","","0.00172718759754448",""
"LongMethod_0","1395","","","","","","","","","","","","",""
"LongParameterList_0","1307","0.0050223423310646","","0.0167506616153578","0.118717111321432","","0.00484316717152057","","","","0.00518453747221919","","0.00166138375778774",""
"MessageChains_0","1395","","","","","","","","","","","","",""
"RefusedParentBequest_0","1389","0.00595960540165004","","0.0169616856716626","0.123413560469966","","0.00491722065743512","","0.0670883525546795","","","","0.00134732078576571",""
"SpaghettiCode_0","1395","","","","","","","","","","","","",""
"SpeculativeGenerality_0","1394","0.00593822948557525","","0.0169008474877613","0.123090460659577","","0.0048995835675591","","0.0668477200132352","","0.00488488078158093","","",""
"SwissArmyKnife_0","1395","","","","","","","","","","","","",""
"AntiSingleton_1","13","","","0.0192307692307692","0.263286713286713","","0","","0.249184149184149","","0","","0",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","16","0.03125","","","0.126644736842105","","0.00164473684210526","","0.125","","0","","0",""
"ComplexClass_1","103","0.0198719150175461","","0.0127509983156381","","","0.000615075985540983","","0.117187982357885","","0.000693481276005548","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","22","0","","0.0227272727272727","0.0454545454545455","","","","0.0909090909090909","","0","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","88","0.0194737554112554","","0.0189393939393939","0.186645882526564","","0.00568181818181818","","","","0.00227272727272727","","0.00227272727272727",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","6","0","","0","0.0277777777777778","","0","","0.0277777777777778","","","","0.0833333333333333",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","1","0","","0","0","","0","","0.166666666666667","","0.166666666666667","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
