Class,same,uchangedLines,deleted,added,changed,all, differenceSection
java\javax\annotation\security\DeclareRoles.java,31,0,0,0,0,0,0
java\javax\annotation\security\DenyAll.java,31,0,0,0,0,0,0
java\javax\annotation\security\PermitAll.java,31,0,0,0,0,0,0
java\javax\annotation\security\RolesAllowed.java,31,0,0,0,0,0,0
java\javax\annotation\security\RunAs.java,31,0,0,0,0,0,0
java\javax\annotation\sql\DataSourceDefinition.java,48,0,0,0,0,0,0
java\javax\annotation\sql\DataSourceDefinitions.java,31,0,0,0,0,0,0
java\javax\annotation\Generated.java,35,0,0,0,0,0,0
java\javax\annotation\ManagedBean.java,31,0,0,0,0,0,0
java\javax\annotation\PostConstruct.java,31,0,0,0,0,0,0
java\javax\annotation\PreDestroy.java,31,0,0,0,0,0,0
java\javax\annotation\Priority.java,31,0,0,0,0,0,0
java\javax\annotation\Resource.java,47,0,0,0,0,0,0
java\javax\annotation\Resources.java,31,0,0,0,0,0,0
java\javax\ejb\EJB.java,36,0,0,0,0,0,0
java\javax\ejb\EJBs.java,31,0,0,0,0,0,0
java\javax\el\ArrayELResolver.java,157,0,0,0,0,0,0
java\javax\el\BeanELResolver.java,394,0,0,0,0,0,0
java\javax\el\BeanNameELResolver.java,166,0,0,0,0,0,0
java\javax\el\BeanNameResolver.java,91,0,0,0,0,0,0
java\javax\el\CompositeELResolver.java,248,0,0,0,0,0,0
java\javax\el\ELClass.java,33,0,0,0,0,0,0
java\javax\el\ELContext.java,308,0,0,0,0,0,0
java\javax\el\ELContextEvent.java,37,0,0,0,0,0,0
java\javax\el\ELContextListener.java,28,0,0,0,0,0,0
java\javax\el\ELException.java,68,0,0,0,0,0,0
java\javax\el\ELManager.java,90,0,0,0,0,0,0
java\javax\el\ELProcessor.java,356,0,0,0,0,0,0
java\javax\el\ELResolver.java,141,0,0,0,0,0,0
java\javax\el\EvaluationListener.java,55,0,0,0,0,0,0
java\javax\el\Expression.java,39,0,0,0,0,0,0
java\javax\el\ExpressionFactory.java,441,0,0,0,0,0,0
