"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","2","","","","0.108630952380952","","0.0491071428571429","","-0.272321428571429","","0.00892857142857143","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","0","","","","","","","","","","","","",""
"ComplexClass","17","0.0155763239875389","","","","","0.0467289719626168","","-0.103353490929082","","0.0186915887850467","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","17","0.0155763239875389","","","0.165109034267913","","","","0.17830309693971","","0.0186915887850467","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","44","-0.0357142857142857","","","-0.146722325293754","","0.0629251700680272","","","","-0.0837971552257267","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","4","0.0112275449101796","","","0.163922155688623","","0.0741017964071856","","-0.772455089820359","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
