"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","336","","","","0.123583445364804","","0.0536812641723356","","0.201433662922121","","0.0148809523809524","","",""
"Blob_0","338","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","338","","","","","","","","","","","","",""
"ComplexClass_0","321","0.00695742471443406","","","","","0.0560166641942343","","0.204448784885302","","0.0155763239875389","","",""
"LargeClass_0","338","","","","","","","","","","","","",""
"LazyClass_0","321","0.00695742471443406","","","0.127800740319546","","","","0.209288818510382","","0.0155763239875389","","",""
"LongMethod_0","338","","","","","","","","","","","","",""
"LongParameterList_0","294","0.000793650793650794","","","0.11699840036077","","0.0598005075045891","","","","0.00680272108843537","","",""
"MessageChains_0","338","","","","","","","","","","","","",""
"RefusedParentBequest_0","334","0.00668662674650699","","","0.124323465995731","","0.0540027088679783","","0.196651828568361","","","","",""
"SpaghettiCode_0","338","","","","","","","","","","","","",""
"SpeculativeGenerality_0","338","","","","","","","","","","","","",""
"SwissArmyKnife_0","338","","","","","","","","","","","","",""
"AntiSingleton_1","2","","","","0","","0","","0.5","","0","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","0","","","","","","","","","","","","",""
"ComplexClass_1","17","0","","","","","0.00326797385620915","","0.179626517273576","","0","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","17","0","","","0.0294117647058824","","","","0.0882352941176471","","0","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","44","0.0454545454545455","","","0.161966089466089","","0.0103535353535354","","","","0.0681818181818182","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","4","0","","","0","","0","","0.75","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
