Class,same,uchangedLines,deleted,added,changed,all, differenceSection
proposals\epugh\hibernate\org\apache\turbine\util\hibernate\HibernateFilter.java,0,48,62,0,0,62,17
proposals\epugh\hibernate\org\apache\turbine\util\hibernate\HibernateUtils.java,0,41,63,0,0,63,15
proposals\epugh\hibernate\org\apache\turbine\util\hibernate\PersistenceException.java,0,49,21,0,0,21,8
proposals\henning\jsp-tags\src\java\org\apache\turbine\modules\actions\JspAction.java,0,69,31,0,0,31,8
proposals\henning\jsp-tags\src\java\org\apache\turbine\modules\screens\JspScreen.java,0,59,24,0,0,24,7
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\BodyAttributesTag.java,0,43,34,0,0,34,6
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\BodyTag.java,0,58,30,0,0,30,7
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\HeadTag.java,0,42,22,0,0,22,5
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\NavigationTag.java,0,44,47,0,0,47,6
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\ScreenTag.java,0,68,72,0,0,72,14
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\tags\TemplateLinkTag.java,0,48,51,0,0,51,12
proposals\henning\jsp-tags\src\java\org\apache\turbine\services\jsp\TurbineJsp.java,0,52,22,0,0,22,7
proposals\henning\jsp-tags\src\java\org\apache\turbine\util\jsp\JspActionEvent.java,0,76,57,0,0,57,16
src\java\org\apache\java\lang\Bytes.java,325,2,0,0,0,0,0
src\java\org\apache\java\security\MD5.java,514,2,0,0,0,0,0
src\java\org\apache\java\security\MessageDigest.java,116,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\sessionvalidator\DefaultSessionValidator.java,127,3,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\sessionvalidator\SessionValidator.java,44,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\sessionvalidator\TemplateSecureSessionValidator.java,173,4,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\sessionvalidator\TemplateSessionValidator.java,133,3,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\AccessController.java,103,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\DefaultAction.java,39,4,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\InitContextsAction.java,87,4,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\LoginUser.java,136,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\LogoutUser.java,105,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\VelocityAction.java,96,2,0,0,0,0,0
src\java\org\apache\turbine\modules\actions\VelocitySecureAction.java,74,2,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\DefaultLayout.java,93,2,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\DirectResponseLayout.java,44,5,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\JspLayout.java,66,2,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\VelocityDirectLayout.java,84,4,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\VelocityECSLayout.java,112,3,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\VelocityOnlyLayout.java,114,5,0,0,0,0,0
src\java\org\apache\turbine\modules\layouts\VelocityXslLayout.java,110,3,0,0,0,0,0
src\java\org\apache\turbine\modules\navigations\BaseJspNavigation.java,67,2,0,0,0,0,0
src\java\org\apache\turbine\modules\navigations\DefaultBottomNavigation.java,198,4,0,0,0,0,0
src\java\org\apache\turbine\modules\navigations\DefaultTopNavigation.java,57,2,0,0,0,0,0
src\java\org\apache\turbine\modules\navigations\TemplateNavigation.java,66,2,0,0,0,0,0
src\java\org\apache\turbine\modules\navigations\VelocityNavigation.java,95,7,3,0,0,3,2
