ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.java.lang.Bytes, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,149,src\java\org\apache\java\lang\Bytes.java,0,0,0,0
org.apache.java.security.MD5, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,309,src\java\org\apache\java\security\MD5.java,0,0,0,0
org.apache.java.security.MessageDigest, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32,src\java\org\apache\java\security\MessageDigest.java,0,0,0,0
org.apache.turbine.ConfigurationTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,src\test\org\apache\turbine\ConfigurationTest.java,1,0,0,1
org.apache.turbine.DestroyTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\test\org\apache\turbine\DestroyTest.java,0,0,0,0
org.apache.turbine.TestTurbine, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,src\test\org\apache\turbine\TestTurbine.java,0,0,0,0
org.apache.turbine.TorqueLoadTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,src\test\org\apache\turbine\TorqueLoadTest.java,0,0,0,0
org.apache.turbine.TurbineConfigTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,src\test\org\apache\turbine\TurbineConfigTest.java,0,0,0,0
org.apache.turbine.TurbineConstants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,src\java\org\apache\turbine\TurbineConstants.java,0,2,0,2
org.apache.turbine.modules.Action, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,src\java\org\apache\turbine\modules\Action.java,0,0,0,0
org.apache.turbine.modules.ActionEvent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,src\java\org\apache\turbine\modules\ActionEvent.java,1,7,3,14
org.apache.turbine.modules.ActionLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,src\java\org\apache\turbine\modules\ActionLoader.java,0,1,0,1
org.apache.turbine.modules.Assembler, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,src\java\org\apache\turbine\modules\Assembler.java,0,0,0,0
org.apache.turbine.modules.GenericLoaderTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,src\test\org\apache\turbine\modules\GenericLoaderTest.java,0,0,0,0
org.apache.turbine.modules.Layout, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,src\java\org\apache\turbine\modules\Layout.java,0,0,0,0
org.apache.turbine.modules.LayoutLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,src\java\org\apache\turbine\modules\LayoutLoader.java,0,1,0,1
org.apache.turbine.modules.Loader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,src\java\org\apache\turbine\modules\Loader.java,0,0,1,2
org.apache.turbine.modules.Navigation, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,src\java\org\apache\turbine\modules\Navigation.java,0,0,0,0
org.apache.turbine.modules.NavigationLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,src\java\org\apache\turbine\modules\NavigationLoader.java,0,1,0,1
org.apache.turbine.modules.Page, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,src\java\org\apache\turbine\modules\Page.java,0,0,0,0
org.apache.turbine.modules.PageLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,src\java\org\apache\turbine\modules\PageLoader.java,0,1,0,1
org.apache.turbine.modules.ScheduledJob, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,5,src\java\org\apache\turbine\modules\ScheduledJob.java,0,0,0,0
org.apache.turbine.modules.ScheduledJobLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,80,src\java\org\apache\turbine\modules\ScheduledJobLoader.java,0,1,0,1
org.apache.turbine.modules.Screen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,27,src\java\org\apache\turbine\modules\Screen.java,0,0,0,0
org.apache.turbine.modules.ScreenLoader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,87,src\java\org\apache\turbine\modules\ScreenLoader.java,0,1,0,1
org.apache.turbine.modules.actions.AccessController, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,27,src\java\org\apache\turbine\modules\actions\AccessController.java,0,0,0,0
org.apache.turbine.modules.actions.DefaultAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,src\java\org\apache\turbine\modules\actions\DefaultAction.java,0,0,0,0
org.apache.turbine.modules.actions.JspAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,25,proposals\henning\jsp-tags\src\java\org\apache\turbine\modules\actions\JspAction.java,31,0,0,31
org.apache.turbine.modules.actions.LoginUser, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,46,src\java\org\apache\turbine\modules\actions\LoginUser.java,0,0,0,0
