"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","57","","","36.8740812694403","1.71596008187554","","","0","0.669567767419974","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","180","36.8740812694389","","","0.187175466408217","","","0","0.483344017840743","","","","",""
"ComplexClass","152","1.71596008187554","","0.187175466408217","","","","0","4.10015181347096","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","1","0","","0","0","","","","0","","","","",""
"LongParameterList","353","0.669567767419974","","0.483344017840754","4.10015181347096","","","0","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
