Class,same,uchangedLines,deleted,added,changed,all, differenceSection
distribution\aggregations\base-runtime-nodep\src\main\java\org\apache\tuscany\sca\base\AggregatedBundleActivator.java,56,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-client-webapp\src\main\java\testing\HelloworldService.java,30,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-reference-contribution\src\main\java\testing\HelloworldRefImpl.java,38,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-reference-contribution\src\main\java\testing\HelloworldService.java,28,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-scaclient-jsp\src\main\java\testing\HelloworldService.java,28,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-scaclient-servlet\src\main\java\testing\HelloworldService.java,28,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-scaclient-servlet\src\main\java\testing\HelloworldServlet.java,64,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-service-contribution\src\main\java\testing\HelloworldImpl.java,38,0,0,0,0,0,0
distribution\tomcat\testing\helloworld-service-contribution\src\main\java\testing\HelloworldService.java,28,0,0,0,0,0,0
distribution\tomcat\testing\legal-checks\src\test\java\itest\JarsInLICENSETestCase.java,150,0,0,0,0,0,0
distribution\tomcat\tomcat-hook\src\main\java\org\apache\tuscany\sca\tomcat\TuscanyAnnotationsProcessor.java,85,0,0,0,0,0,0
distribution\tomcat\tomcat-hook\src\main\java\org\apache\tuscany\sca\tomcat\TuscanyContextConfig.java,183,0,0,0,0,0,0
distribution\tomcat\tomcat-hook\src\main\java\org\apache\tuscany\sca\tomcat\TuscanyHostConfig.java,167,0,0,0,0,0,0
distribution\tomcat\tomcat-hook\src\main\java\org\apache\tuscany\sca\tomcat\TuscanyLifecycleListener.java,161,0,0,0,0,0,0
distribution\tomcat\tomcat-hook\src\main\java\org\apache\tuscany\sca\tomcat\TuscanyStandardContext.java,196,0,0,0,0,0,0
distribution\tomcat\tomcat-servlet\src\main\java\org\apache\tuscany\sca\war\Installer.java,374,0,0,0,0,0,0
distribution\tomcat\tomcat-servlet\src\main\java\org\apache\tuscany\sca\war\InstallerServlet.java,70,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__BindingProviderFactory.java,50,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__ReferenceBindingProvider.java,58,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__ReferenceInvoker.java,56,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__ServiceBindingProvider.java,60,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__ServiceInvoker.java,43,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\runtime\__bindingName__Stash.java,47,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\__bindingName__Binding.java,52,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\main\java\__bindingName__BindingFactory.java,35,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\test\java\helloworld\HelloWorldClient.java,36,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\test\java\helloworld\HelloWorldImpl.java,31,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\test\java\helloworld\HelloWorldService.java,31,0,0,0,0,0,0
maven\archetypes\binding\src\main\resources\archetype-resources\src\test\java\test\__bindingName__BindingTestCase.java,55,0,0,0,0,0,0
maven\archetypes\contribution-jar\src\main\resources\archetype-resources\src\main\java\Helloworld.java,28,0,0,0,0,0,0
maven\archetypes\contribution-jar\src\main\resources\archetype-resources\src\main\java\HelloworldImpl.java,36,0,0,0,0,0,0
maven\archetypes\contribution-jar\src\main\resources\archetype-resources\src\test\java\HelloworldTestCase.java,48,0,0,0,0,0,0
maven\archetypes\contribution-zip\src\main\resources\archetype-resources\src\main\java\AddImpl.java,38,0,0,0,0,0,0
maven\archetypes\contribution-zip\src\main\resources\archetype-resources\src\main\java\AddService.java,25,0,0,0,0,0,0
maven\archetypes\implementation\src\main\resources\archetype-resources\src\main\java\runtime\__implementationName__BindingProviderFactory.java,50,0,0,0,0,0,0
maven\archetypes\implementation\src\main\resources\archetype-resources\src\main\java\runtime\__implementationName__ReferenceBindingProvider.java,58,0,0,0,0,0,0
