"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.727267949948821,0.312074645776623,-2.33042946548559,0.0197834639450781
"sloc",0.00839212817180071,0.0031926173484223,2.62860445081145,0.00857360213216661
"AntiSingleton",-26.8983460674454,363599.349865107,-7.39779817467346e-05,0.999940974110579
"ClassDataShouldBePrivate",0.305196232637001,1.84313659913538,0.165585248961021,0.868483356652727
"ComplexClass",-0.998595371140953,1.37877757323316,-0.724261396854099,0.468905271688654
"LongParameterList",-0.578724775433412,1.46230666426781,-0.395761566007212,0.692280932568671
"AntiSingleton:ClassDataShouldBePrivate",29.0217955713874,363599.349880736,7.98180623285129e-05,0.999936314400462
"AntiSingleton:ComplexClass",-31.7810396487823,514675.841123855,-6.17496239562842e-05,0.999950730928441
"AntiSingleton:LongParameterList",0.582852829130796,630155.305190949,9.24935209351575e-07,0.999999262008477
"ClassDataShouldBePrivate:ComplexClass",2.96163570734238,3.90843899295201,0.757754109168142,0.448598199704634
"ClassDataShouldBePrivate:LongParameterList",-37.5830077132289,45290.5195239322,-0.00082982063593617,0.999337899002338
"ComplexClass:LongParameterList",1.54004936657713,3.1316347144922,0.491771712534122,0.622880735906053
"(Intercept)",-0.63525105593075,0.299305181818301,-2.12241917120029,0.0338025536947418
"sloc",0.00824995054316562,0.00243207805185348,3.39214053466679,0.000693488609450546
